id,name,mw,sf
HMDB00218,Orotidylic acid,368.0256958,C10H13N2O11P
HMDB01570,Thymidine 3'5'-cyclic monophosphate,304.0460373,C10H13N2O7P
HMDB06543,Debrisoquine,175.1109474,C10H13N3
HMDB06468,4-Hydroxydebrisoquine,191.1058621,C10H13N3O
HMDB41939,N'-nitrosoanabasine,191.1058621,C10H13N3O
HMDB11603,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone ,207.1007767,C10H13N3O2
HMDB06555,dIMP,332.0521853,C10H13N4O7P
HMDB60416,6-Thioinosine-5'-monophosphate,364.024256,C10H13N4O7PS
HMDB00175,Inosinic acid,348.0470999,C10H13N4O8P
HMDB11681,Inosine 2'-phosphate,348.0470999,C10H13N4O8P
HMDB60418,6-Thioxanthine 5'-monophosphate,380.0191706,C10H13N4O8PS
HMDB60792,6-Thioxanthylic acid,380.0191706,C10H13N4O8PS
HMDB01554,Xanthylic acid,364.0420145,C10H13N4O9P
HMDB12204,Cis-zeatin,219.1120101,C10H13N5O
HMDB00101,Deoxyadenosine,251.1018393,C10H13N5O3
HMDB01983,5'-Deoxyadenosine,251.1018393,C10H13N5O3
HMDB00050,Adenosine,267.0967539,C10H13N5O4
HMDB00085,Deoxyguanosine,267.0967539,C10H13N5O4
HMDB14340,Vidarabine,267.0967539,C10H13N5O4
HMDB14638,Zidovudine,267.0967539,C10H13N5O4
HMDB00133,Guanosine,283.0916686,C10H13N5O5
HMDB03333,8-Hydroxy-deoxyguanosine,283.0916686,C10H13N5O5
HMDB02044,8-Hydroxyguanosine,299.0865832,C10H13N5O6
HMDB39661,2367-Tetrahydro-7-methylcyclopent[b]azepin-8(1H)-one,163.099714,C10H13NO
HMDB40015,2345-Tetrahydro-6-(5-methyl-2-furanyl)pyridine,163.099714,C10H13NO
HMDB40022,23-Dihydro-5-propanoyl-1H-pyrrolizine,163.099714,C10H13NO
HMDB40023,5-Acetyl-23-dihydro-7-methyl-1H-pyrrolizine,163.099714,C10H13NO
HMDB40024,5-Acetyl-23-dihydro-6-methyl-1H-pyrrolizine,163.099714,C10H13NO
HMDB40025,1-(23-Dihydro-5-methyl-1H-pyrrolizin-7-yl)ethanone,163.099714,C10H13NO
HMDB40026,23-Dihydro-56-dimethyl-1H-pyrrolizine-7-carboxaldehyde,163.099714,C10H13NO
HMDB41927,Methcathinone,163.099714,C10H13NO
HMDB01189,2(N)-Methyl-norsalsolinol,179.0946287,C10H13NO2
HMDB05199,(R)-Salsolinol,179.0946287,C10H13NO2
HMDB29223,alpha-Methylphenylalanine,179.0946287,C10H13NO2
HMDB29224,N-methylphenylalanine,179.0946287,C10H13NO2
HMDB30372,Maltoxazine,179.0946287,C10H13NO2
HMDB31811,35-Dimethylphenyl methylcarbamate,179.0946287,C10H13NO2
HMDB33763,Ethyl N-methylanthranilate,179.0946287,C10H13NO2
HMDB39655,123456-Hexahydro-5-(1-hydroxyethylidene)-7H-cyclopenta[b]pyridin-7-one,179.0946287,C10H13NO2
HMDB40021,23-Dihydro-5-(3-hydroxypropanoyl)-1H-pyrrolizine,179.0946287,C10H13NO2
HMDB41931,34-Methylenedioxyamphetamine,179.0946287,C10H13NO2
HMDB42012,Salsolinol,179.0946287,C10H13NO2
HMDB14903,Metyrosine,195.0895433,C10H13NO3
HMDB29217,Tyrosine methylester,195.0895433,C10H13NO3
HMDB41943,N-Acetyldopamine,195.0895433,C10H13NO3
HMDB60065,N-methyl-467-trihydroxy-1234-tetrahydroisoquinoline,195.0895433,C10H13NO3
HMDB60351,2-Phenyl-13-propanediol monocarbamate,195.0895433,C10H13NO3
HMDB01434,3-Methoxytyrosine,211.0844579,C10H13NO4
HMDB11754,Methyldopa,211.0844579,C10H13NO4
HMDB60747,3-O-Methyl-a-methyldopa,211.0844579,C10H13NO4
HMDB05805,p-Cymene,134.1095504,C10H14
HMDB32627,1-Methyl-2-propylbenzene,134.1095504,C10H14
HMDB37013,p-Mentha-138-triene,134.1095504,C10H14
HMDB37050,1-Isopropyl-2-methylbenzene,134.1095504,C10H14
HMDB37051,1-Isopropyl-3-methylbenzene,134.1095504,C10H14
HMDB59812,Butylbenzene,134.1095504,C10H14
HMDB59821,m-Propyltoluene,134.1095504,C10H14
HMDB59823,Prehnitene,134.1095504,C10H14
HMDB59832,4-Ethyl-o-xylene,134.1095504,C10H14
HMDB59890,2-Ethyl-p-xylene,134.1095504,C10H14
HMDB01934,L(-)-Nicotine pestanal,162.1156985,C10H14N2
HMDB04350,Anabasine,162.1156985,C10H14N2
HMDB14330,Nicotine,162.1156985,C10H14N2
HMDB39982,Trimethyl-2-propenylpyrazine,162.1156985,C10H14N2
HMDB01240,Pseudooxynicotine,178.1106131,C10H14N2O
HMDB01329,2'-Hydroxynicotine,178.1106131,C10H14N2O
HMDB01497,Nicotine-1'-N-oxide,178.1106131,C10H14N2O
HMDB60679,Glycinexylidide,178.1106131,C10H14N2O
HMDB41440,Laccarin,194.1055277,C10H14N2O2
HMDB15441,Aprobarbital,210.1004423,C10H14N2O3
HMDB00245,Porphobilinogen,226.0953569,C10H14N2O4
HMDB00273,Thymidine,242.0902716,C10H14N2O5
HMDB15394,Telbivudine,242.0902716,C10H14N2O5
HMDB00884,Ribothymidine,258.0851862,C10H14N2O6
HMDB02331,Imidazoleacetic acid riboside,258.0851862,C10H14N2O6
HMDB04813,3-Methyluridine,258.0851862,C10H14N2O6
HMDB28818,Glutamyl-Glutamate,274.0801008,C10H14N2O7
HMDB03536,dIDP,412.0185157,C10H14N4O10P2
HMDB60660,6-Mercaptopurine ribonucleoside 5'-diphosphate,443.9905864,C10H14N4O10P2S
HMDB03335,IDP,428.0134303,C10H14N4O11P2
HMDB14789,Dyphylline,254.101505,C10H14N4O4
HMDB28755,Aspartyl-Histidine,270.0964196,C10H14N4O5
HMDB28881,Histidinyl-Aspartate,270.0964196,C10H14N4O5
HMDB01003,Adenosine phosphosulfate,427.0198989,C10H14N5O10PS
HMDB04112,Adenylylselenate,474.96435,C10H14N5O10PSe
HMDB61067,arabinofuranosylguanine,284.0994936,C10H14N5O5
HMDB00905,Deoxyadenosine monophosphate,331.0681697,C10H14N5O6P
HMDB00045,Adenosine monophosphate,347.0630843,C10H14N5O7P
HMDB01044,2'-Deoxyguanosine 5'-monophosphate,347.0630843,C10H14N5O7P
HMDB03540,3'-AMP,347.0630843,C10H14N5O7P
HMDB11617,Adenosine 2'-phosphate,347.0630843,C10H14N5O7P
HMDB59594,2-hydroxy-dAMP,347.0630843,C10H14N5O7P
HMDB60415,6-Thioguanosine monophosphate,379.035155,C10H14N5O7PS
HMDB60789,6-Thioguanylic acid,379.035155,C10H14N5O7PS
HMDB01397,Guanosine monophosphate,363.057999,C10H14N5O8P
HMDB11670,8-Oxo-dGMP,363.057999,C10H14N5O8P
HMDB59639,Cyclic pyranopterin monophosphate,363.057999,C10H14N5O8P
HMDB01355,Parathion,291.0330298,C10H14NO5PS
HMDB13035,Paraoxon,275.0558737,C10H14NO6P
